RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,CON,13,2,0.867,--,8-1,8-1,5-1,L1,8-2
2,NYL,14,3,0.824,--,9-1,8-1,6-2,W2,9-1
3,MIN,13,3,0.813,0.5,10-2,9-1,4-2,W6,9-1
4,SEA,9,6,0.600,4,4-5,4-1,5-5,L2,7-3
5,LVA,8,6,0.571,4.5,6-4,5-4,3-2,W2,5-5
6,PHO,8,8,0.500,5.5,5-6,6-2,2-6,L1,5-5
7,ATL,6,8,0.429,6.5,2-5,3-5,3-3,L2,4-6
8,IND,7,10,0.412,7,6-6,4-4,3-6,W4,6-4
9,CHI,5,9,0.357,7.5,2-7,2-5,3-4,W1,3-7
10,LAS,4,13,0.235,10,2-6,3-4,1-9,L6,2-8
11,DAL,3,12,0.200,10,2-6,1-5,2-7,L10,0-10
12,WAS,3,13,0.188,10.5,2-9,2-5,1-8,W1,3-7
