RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,15,3,0.833,--,10-1,8-1,7-2,W3,9-1
2,CON,14,4,0.778,1,9-2,8-2,6-2,L1,6-4
3,MIN,13,4,0.765,1.5,10-3,9-1,4-3,L1,8-2
4,SEA,11,6,0.647,3.5,4-5,6-1,5-5,W2,7-3
5,LVA,9,6,0.600,4.5,6-4,5-4,4-2,W3,5-5
6,PHO,9,8,0.529,5.5,6-6,7-2,2-6,W1,6-4
7,ATL,7,9,0.438,7,3-6,3-6,4-3,W1,3-7
8,CHI,6,10,0.375,8,3-7,3-6,3-4,L1,3-7
9,IND,7,12,0.368,8.5,6-7,4-4,3-8,L2,6-4
10,DAL,4,13,0.235,10.5,3-6,2-5,2-8,W1,1-9
11,LAS,4,14,0.222,11,2-7,3-4,1-10,L7,2-8
12,WAS,4,14,0.222,11,2-10,3-6,1-8,L1,4-6
