RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,17,4,0.810,--,11-2,10-1,7-3,L1,8-2
2,CON,16,4,0.800,0.5,9-2,8-2,8-2,W2,7-3
3,MIN,15,6,0.714,2,10-3,10-2,5-4,W1,7-3
4,SEA,13,7,0.650,3.5,6-5,8-2,5-5,L1,6-4
5,LVA,12,7,0.632,4,6-5,7-4,5-3,L1,7-3
6,PHO,10,10,0.500,6.5,7-6,7-4,3-6,W1,6-4
7,CHI,8,11,0.421,8,4-7,3-7,5-4,W2,4-6
8,IND,9,13,0.409,8.5,7-7,5-4,4-9,W1,6-4
9,ATL,7,12,0.368,9,3-8,3-7,4-5,L3,2-8
10,LAS,5,15,0.250,11.5,3-7,4-5,1-10,W1,2-8
11,DAL,5,16,0.238,12,3-9,3-6,2-10,W1,2-8
12,WAS,5,17,0.227,12.5,2-10,3-7,2-10,L2,5-5
