RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,30,6,0.833,--,15-3,16-2,14-4,W4,8-2,True
2,MIN,27,9,0.750,3,14-5,15-3,12-6,W4,9-1,True
3,CON,26,10,0.722,4,13-6,13-5,13-5,W2,7-3,True
4,LVA,22,13,0.629,7.5,10-8,11-7,11-6,L1,6-4,True
5,SEA,21,14,0.600,8.5,9-6,13-5,8-9,W1,4-6,True
6,IND,19,17,0.528,11,11-8,11-6,8-11,W1,8-2,True
7,PHO,17,19,0.472,13,9-9,10-8,7-11,L2,3-7,True
8,CHI,13,22,0.371,16.5,5-12,6-12,7-10,W2,3-7,False
9,ATL,12,24,0.333,18,4-12,7-11,5-13,L2,3-7,False
10,WAS,11,24,0.314,18.5,4-11,4-13,7-11,L1,5-5,False
11,DALCircle,9,27,0.250,21,6-12,7-11,2-16,L5,3-7,False
12,LASCircle,7,29,0.194,23,4-12,5-13,2-16,L5,1-9,False
