RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,CON,13,1,0.929,--,8-1,8-1,5-0,W4,9-1
2,MIN,12,3,0.800,1.5,9-2,8-1,4-2,W5,8-2
3,NYL,12,3,0.800,1.5,9-1,6-1,6-2,L1,8-2
4,SEA,9,6,0.600,4.5,4-5,4-1,5-5,L2,7-3
5,LVA,7,6,0.538,5.5,6-4,4-4,3-2,W1,5-5
6,PHO,8,7,0.533,5.5,5-5,6-2,2-5,W2,5-5
7,ATL,6,7,0.462,6.5,2-4,3-4,3-3,L1,4-6
8,IND,6,10,0.375,8,5-6,4-4,2-6,W3,5-5
9,CHI,4,9,0.308,8.5,2-7,1-5,3-4,L4,2-8
10,LAS,4,11,0.267,9.5,2-6,3-4,1-7,L4,3-7
11,DAL,3,10,0.231,9.5,2-6,1-5,2-5,L8,2-8
12,WAS,2,13,0.133,11.5,2-9,1-5,1-8,L1,2-8
