RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,19,4,0.826,--,13-2,11-1,8-3,W2,8-2
2,CON,17,5,0.773,1.5,10-3,9-3,8-2,L1,6-4
3,MIN,16,6,0.727,2.5,11-3,10-2,6-4,W2,7-3
4,LVA,14,7,0.667,4,8-5,8-4,6-3,W2,8-2
5,SEA,14,8,0.636,4.5,6-6,9-3,5-5,L1,6-4
6,PHO,12,10,0.545,6.5,9-6,8-4,4-6,W3,6-4
7,CHI,9,13,0.409,9.5,5-8,4-7,5-6,L1,5-5
8,IND,9,14,0.391,10,7-8,5-5,4-9,L1,6-4
9,ATL,7,14,0.333,11,3-10,3-7,4-7,L5,2-8
10,WAS,6,17,0.261,13,3-10,3-7,3-10,W1,5-5
11,LAS,5,17,0.227,13.5,3-9,4-7,1-10,L2,1-9
12,DAL,5,18,0.217,14,3-11,3-6,2-12,L2,2-8
